track,race,driver,total_laps,s1_mean,s1_std,s1_best,s2_mean,s2_std,s2_best,s3_mean,s3_std,s3_best,lap_mean,lap_std,lap_best,lap_worst,consistency_score,best_to_avg_ratio,outlier_laps,avg_speed_kph,speed_std,top_speed_max,speed_variance,speed_range,speed_consistency,early_pace,mid_pace,late_pace,tire_degradation,pace_improvement,lap_to_lap_variance,first_vs_last_5,best_lap_position,laps_under_pressure,clutch_score,pressure_delta,pressure_consistency,fcy_lap_count,post_fcy_performance,restart_delta,flag_adaptation,avg_temp,temp_correlation,humidity_sensitivity,sector_balance,s1_ratio,s2_ratio,s3_ratio,track_relative_performance,finishing_position,is_top_finisher
barber,1,3,27,28.139888888888887,2.8536349738714946,26.961,44.147555555555556,2.9239855878490095,42.981,30.06848148148148,2.227439723269234,29.055,102.35592592592593,7.631256358535377,99.167,133.691,0.11585798850837147,0.9688447356899128,2,130.75555555555553,7.97092472838886,184.3,63.53564102564101,34.7,0.11147122847162669,107.2458888888889,99.89977777777777,99.92211111111111,-7.323777777777792,7.323777777777792,6.062437163766351,-13.259200000000007,0.2962962962962963,0,2.412587159548568,0,0.27789296500631366,2,18.800576134011685,0,18.800576134011685,30.16720930232558,0,0,0.43131411450964496,0.2749219318210601,0.43131411450964496,0.29376395366929486,0,14,0
barber,1,111,27,27.90603703703704,2.5371366277373135,26.922,44.13737037037037,3.33574136781233,42.904,29.87855555555555,2.152808672290034,28.952,101.92196296296298,7.797098861270241,98.944,134.812,0.11367383904284177,0.9707819308381538,2,131.32592592592593,8.082535426299035,185.2,65.32737891737892,35.89999999999999,0.11010141475522782,106.67911111111113,99.81700000000001,99.26977777777778,-7.40933333333335,7.40933333333335,7.142423315977247,-13.367399999999975,0.8518518518518519,0,2.5749729368111494,0,0.183140656327306,2,17.589102303481294,0,17.589102303481294,30.16720930232558,0,0,0.43305063096566615,0.27379807281751145,0.43305063096566615,0.29315129621682234,0,12,0
barber,1,113,27,27.933481481481483,2.7307366063217113,26.837,44.02903703703704,3.185271881663159,42.833,29.917333333333335,2.1163911954805736,28.884,101.87985185185185,7.738514008136905,99.056,134.348,0.11443593259321272,0.9722825288756981,2,131.38518518518518,8.06768023582147,185.2,65.08746438746438,35.3,0.11028178916692984,106.8528888888889,99.58622222222223,99.20044444444444,-7.6524444444444555,7.6524444444444555,6.708455442545283,-13.519000000000005,0.48148148148148145,0,2.703529502434966,0,0.023334523779146906,2,18.225199388067313,0,18.225199388067313,30.16720930232558,0,0,0.4321662844687061,0.2741806252535667,0.4321662844687061,0.2936530902777273,0,10,0
barber,1,13,27,27.504259259259264,2.5187275571451755,26.592,43.58951851851852,3.794366830430954,42.38,29.463074074074072,2.2117804336347877,28.418,100.55685185185187,8.420141880330776,97.428,134.965,0.10615551365399246,0.968884747342115,2,133.2222222222222,8.76269774640617,185.2,76.78487179487178,38.10000000000001,0.10243070368209632,105.12877777777778,98.11366666666669,98.42811111111111,-6.700666666666677,6.700666666666677,8.594995098669568,-12.725600000000014,0.25925925925925924,0,1.9246344890581766,0,0.10111626970967678,2,16.449434981812356,0,16.449434981812356,30.16720930232558,0,0,0.433481336336364,0.2735194942238314,0.433481336336364,0.29299916943980464,0,1,1
barber,1,18,26,28.95792307692308,2.8253002661391857,27.538,45.04561538461539,2.5637470714081454,43.823,30.949884615384615,1.9587527322645513,29.698,104.95342307692309,6.987199520111482,101.37899999999999,132.511,0.1252003280351312,0.9659427680190735,1,127.4230769230769,7.154763878273425,180.0,51.190646153846174,30.80000000000001,0.12262770754948284,110.47675,102.52012500000001,102.59800000000001,-7.878749999999982,7.878749999999982,5.124525097346419,-11.852199999999996,0.6923076923076923,0,0.863166774712163,0,0.4475985924910915,2,17.629123056140582,0,17.629123056140582,30.16720930232558,0,0,0.4291962478593984,0.2759121353831315,0.4291962478593984,0.29489161675747005,0,21,0
barber,1,2,27,27.754629629629633,2.4611332934888126,26.842,43.79466666666666,3.705113389731713,42.515,29.529370370370366,2.193528035418112,28.638,101.07866666666666,8.234967030899396,98.326,135.542,0.1082840898786197,0.9727670857022253,2,132.5,8.506106403863413,185.2,72.35384615384616,37.2,0.10519554037324748,105.94577777777778,98.60366666666667,98.68655555555556,-7.2592222222222205,7.2592222222222205,8.258825333870707,-12.811200000000014,0.14814814814814814,0,1.995145695102164,0,0.11455129855222504,2,16.90584332950872,0,16.90584332950872,30.16720930232558,0,0,0.4332730942236409,0.27458444541178784,0.4332730942236409,0.29214246036457114,0,5,0
barber,1,21,27,27.957518518518523,2.822890095279745,26.745,43.99614814814814,3.08761713827874,42.888,29.95625925925926,2.1638995887516206,28.931,101.90992592592592,7.741597578744653,98.775,134.167,0.11439556568372782,0.9692382670535492,2,131.34814814814814,8.092464223459825,185.2,65.48797720797721,35.60000000000001,0.10998118611452555,106.761,99.78966666666666,99.17911111111113,-7.581888888888869,7.581888888888869,6.652568895142339,-13.38639999999998,0.7407407407407407,0,2.5404060521128264,0,0.2658721497261352,2,18.39718644674928,0,18.39718644674928,30.16720930232558,0,0,0.4317160251900007,0.2743355788408646,0.4317160251900007,0.2939483959691347,0,11,0
barber,1,22,27,27.482333333333333,2.4609576622495197,26.644,43.673296296296286,3.7533127195013165,42.452,29.502703703703713,2.3363893711124644,28.606,100.65833333333333,8.47112929080524,97.74600000000001,136.175,0.10558403008718503,0.9710671413196458,2,133.0851851851852,8.741224333524615,185.2,76.40900284900285,38.400000000000006,0.10265650043172503,105.48455555555556,98.43422222222222,98.05622222222222,-7.428333333333342,7.428333333333342,8.581160593640362,-13.531599999999997,0.2222222222222222,0,2.679195297623973,0,0.11384419177103512,2,17.10223500589481,0,17.10223500589481,30.16720930232558,0,0,0.43387660862286237,0.273025912741121,0.43387660862286237,0.2930974786360167,0,2,1
barber,1,31,27,27.931,2.5215681781231054,26.902,44.07103703703703,3.4533548513503107,42.725,29.932518518518513,2.135759338400971,28.747,101.93455555555555,7.857183202127521,98.542,135.06,0.11290271152569105,0.9667182974697274,2,131.31851851851854,8.12422952735245,185.2,66.00310541310542,36.499999999999986,0.10959829506724027,106.79788888888888,99.786,99.21977777777778,-7.578111111111099,7.578111111111099,7.102993077136298,-13.825400000000016,0.2222222222222222,0,2.7375952544715383,0,0.06222539674442189,2,17.379945589766585,0,17.379945589766585,30.16720930232558,0,0,0.43234638927736135,0.27400914094119216,0.43234638927736135,0.2936444697814466,0,13,0
barber,1,41,27,27.81425925925926,2.621621820297689,26.778,43.7477037037037,3.3327684935964017,42.651,29.80477777777778,2.2027262711560476,28.843,101.36674074074072,7.906386238559076,98.39099999999999,134.504,0.11227898422714098,0.9706438155257295,2,132.07777777777778,8.26481575639648,185.2,68.30717948717951,36.30000000000001,0.10793522788724584,106.29244444444446,98.82733333333334,98.98044444444446,-7.311999999999998,7.311999999999998,6.957395521203426,-13.410600000000017,0.48148148148148145,0,2.351107200769315,0,0.14212846301849139,2,18.48013574013124,0,18.48013574013124,30.16720930232558,0,0,0.4315784781479205,0.27439236041334325,0.4315784781479205,0.29402916143873625,0,9,0
barber,1,46,27,28.162888888888887,3.0461348817720983,26.684,43.9134074074074,3.3004976811111293,42.705,30.430592592592596,4.028534838253226,28.659,102.5068888888889,8.463215343397446,98.202,134.549,0.1056723284541662,0.9580039065125162,1,130.70740740740743,9.011357189933069,185.2,81.2045584045584,36.69999999999999,0.09988655694010709,109.29555555555555,98.96944444444445,99.25566666666667,-10.039888888888882,10.039888888888882,8.36914069929616,-12.647400000000005,0.48148148148148145,0,2.4680184096028257,0,0.527501658765161,2,17.309718854446576,0,17.309718854446576,30.16720930232558,0,0,0.42839469506295147,0.2747414265924675,0.42839469506295147,0.29686387834458106,0,16,0
barber,1,47,27,27.725,2.4970222419760457,26.763,43.812666666666665,3.625641343796454,42.578,29.552444444444447,2.1869213930745612,28.634,101.09011111111111,8.186370926651074,98.251,135.318,0.10885691509569315,0.9719150460919905,2,132.47777777777776,8.463238756906852,186.2,71.62641025641025,37.099999999999994,0.10567206700455894,106.00911111111112,98.60144444444444,98.65977777777778,-7.349333333333348,7.349333333333348,8.105418179502859,-12.851399999999998,0.2222222222222222,0,1.908803037114291,0,0.6767011895955315,2,17.062852954405372,0,17.062852954405372,30.16720930232558,0,0,0.4334021021948514,0.2742602584492823,0.4334021021948514,0.29233763935586626,0,6,0
barber,1,5,27,27.99614814814815,3.091921492481579,26.706,44.491814814814816,2.937840717222784,43.004,30.033518518518516,2.1714967254154516,28.982,102.52148148148147,7.700906372081599,99.083,133.466,0.11493055519005207,0.9664608681830006,1,130.56296296296298,8.101716254461538,185.2,65.63780626780628,34.7,0.10986938859029072,107.97011111111111,99.74744444444445,99.84688888888888,-8.123222222222225,8.123222222222225,5.816490725911577,-15.217600000000019,0.8148148148148148,0,2.9569232103118375,0,0.39173715677734877,2,19.056415529332373,0,19.056415529332373,30.16720930232558,0,0,0.43397553538915057,0.2730759226611948,0.43397553538915057,0.2929485419496546,0,17,0
